STATE     K 1         2         3         4         5         6         7         8         9         C         P        
OX#XXO#O# p OX#XXO#O# OX#XXO#O# OXXXXOOO# OX#XXO#O# OX#XXO#O# OX#XXO#O# OXOXXOXO# OX#XXO#O# OXOXXO#OX OX#XXO#O# OX#XXO#O#
OX#OXX#O# p OX#OXX#O# OX#OXX#O# OXXOXXOO# OX#OXX#O# OX#OXX#O# OX#OXX#O# OXOOXXXO# OX#OXX#O# OX#OXXOOX OX#OXX#O# OX#OXX#O#
OXO#X#XO# p OXO#X#XO# OXO#X#XO# OXO#X#XO# OXOXXOXO# OXO#X#XO# OXOOXXXO# OXO#X#XO# OXO#X#XO# OXOOX#XOX OXO#X#XO# OXO#X#XO#
OX#OX##OX p OX#OX##OX OX#OX##OX OXXOX#OOX OX#OX##OX OX#OX##OX OX#OXXOOX OXOOX#XOX OX#OX##OX OX#OX##OX OX#OX##OX OX#OX##OX
OXXXX#OOO w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXX#XXOOO w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXX#XOOOX p OXX#XOOOX OXX#XOOOX OXX#XOOOX OXXXXOOOX OXX#XOOOX OXX#XOOOX OXX#XOOOX OXX#XOOOX OXX#XOOOX OXX#XOOOX OXX#XOOOX
OXXXXOOOX d ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXXXXOOO# p OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOO# OXXXXOOOX OXXXXOOO# OXXXXOOO#
OXOXXOXO# p OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXO# OXOXXOXOX OXOXXOXO# OXOXXOXO#
OXOXXO#OX p OXOXXO#OX OXOXXO#OX OXOXXO#OX OXOXXO#OX OXOXXO#OX OXOXXO#OX OXOXXOXOX OXOXXO#OX OXOXXO#OX OXOXXO#OX OXOXXO#OX
OXOXXOXOX d ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXXOXXOO# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXOOXXXO# p OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXO# OXOOXXXOX OXOOXXXO# OXOOXXXO#
OXOOXXXOX d ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OX#OXXOOX w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXOOX#XOX p OXOOX#XOX OXOOX#XOX OXOOX#XOX OXOOX#XOX OXOOX#XOX OXOOXXXOX OXOOX#XOX OXOOX#XOX OXOOX#XOX OXOOX#XOX OXOOX#XOX
OXXOX#OOX w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXXOX#O## w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#XXXOO## p O#XXXOO## OXXXXOOO# O#XXXOO## O#XXXOO## O#XXXOO## O#XXXOO## O#XXXOO## OOXXXOOX# OOXXXOO#X O#XXXOO## O#XXXOO##
O#XOXXO## w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#XOX#OX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#XOX#O#X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOXXXOOX# p OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOX# OOXXXOOXX OOXXXOOX# OOXXXOOX#
OOXXXOOXX d ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOXXXOO#X p OOXXXOO#X OOXXXOO#X OOXXXOO#X OOXXXOO#X OOXXXOO#X OOXXXOO#X OOXXXOO#X OOXXXOOXX OOXXXOO#X OOXXXOO#X OOXXXOO#X
O#OXXOX## p O#OXXOX## OXOXXOX#O O#OXXOX## O#OXXOX## O#OXXOX## O#OXXOX## O#OXXOX## O#OXXOXXO OOOXXOX#X O#OXXOX## O#OXXOX##
OXOXXOX#O w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#OXXOXXO w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOOXXOX#X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OO#XXO#X# p OO#XXO#X# OO#XXO#X# OOXXXOOX# OO#XXO#X# OO#XXO#X# OO#XXO#X# OOOXXOXX# OO#XXO#X# OOOXXO#XX OO#XXO#X# OO#XXO#X#
OOOXXOXX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOOXXO#XX w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#OXXO##X p O#OXXO##X OXOXXO#OX O#OXXO##X O#OXXO##X O#OXXO##X O#OXXO##X OOOXXOX#X O#OXXO##X OOOXXO#XX O#OXXO##X O#OXXO##X
OX#OXXO## w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O#OOXXX## p O#OOXXX## OXOOXXXO# O#OOXXX## O#OOXXX## O#OOXXX## O#OOXXX## O#OOXXX## OOOOXXXX# OOOOXXX#X O#OOXXX## O#OOXXX##
O##OXXOX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
O##OXXO#X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOOOXXXX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOOOXXX#X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOOXX#X## w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#XXX## w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#X#XX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#X#X#X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOX#X#OX# p OOX#X#OX# OOX#X#OX# OOX#X#OX# OOXXXOOX# OOX#X#OX# OOXOXXOX# OOX#X#OX# OOX#X#OX# OOXOX#OXX OOX#X#OX# OOX#X#OX#
OOOXX##X# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#XX#X# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#X##XX w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOXOXXOX# w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOXOX#OXX w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXO#X##OX p OXO#X##OX OXO#X##OX OXO#X##OX OXOXXO#OX OXO#X##OX OXOOXX#OX OXOOX#XOX OXO#X##OX OXO#X##OX OXO#X##OX OXO#X##OX
OOOXX###X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OOO#XX##X w ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### #########
OXOOXX#OX p OXOOXX#OX OXOOXX#OX OXOOXX#OX OXOOXX#OX OXOOXX#OX OXOOXX#OX OXOOXXXOX OXOOXX#OX OXOOXX#OX OXOOXX#OX OXOOXX#OX
